set,TE,rowsums.pseudobulk,rowsums.cellbycell,rowsums.bycluster,cells.pseudobulk,cells.individual,cells.clusters,sample.name
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p23da,14,12,14,14,12,14,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p22.3a,277,270,277,245,239,245,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,HUERSP3B_9p22.3,3,3,3,3,3,3,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p22.3b,14,9,12,13,8,11,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,MER41_9p22.3,3,3,3,2,2,2,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p22.3c,1,1,1,1,1,1,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p22.3d,1,1,1,1,1,1,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p22.3e,15,12,15,15,12,15,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,MER4B_9p22.3,1,1,1,1,1,1,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p22.3f,30,28,30,27,25,27,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p22.3g,43,43,42,39,39,38,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p22.3h,57,54,57,41,38,41,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p22.3i,59,54,57,41,36,39,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p22.3j,34,34,34,33,33,33,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,ERVLE_9p22.3a,1,1,1,1,1,1,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p22.3k,66,63,66,50,47,50,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p22.3l,11,11,11,11,11,11,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p22.3m,48,37,43,43,32,38,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p22.3n,15,15,15,15,15,15,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p22.3o,42,41,41,35,33,34,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p22.3p,39,34,39,30,25,30,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,ERV316A3_9p22.3,1,1,1,1,1,1,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,ERVLE_9p22.3b,1,1,1,1,1,1,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p22.3q,3,3,3,3,3,3,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p22.3s,1,1,1,1,1,1,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p22.2a,3,3,3,3,3,3,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p22.2b,169,166,169,142,139,142,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,HERVL66_9p22.2,11,11,11,10,10,10,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p22.2c,41,40,42,38,37,39,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p22.2d,85,78,82,80,73,77,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p22.2e,30,26,31,30,26,31,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p22.2f,534,534,534,395,395,395,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,ERVLE_9p22.2,10,10,10,10,10,10,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,ERVLB4_9p22.2,3,3,3,3,3,3,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p22.2g,18,16,18,18,16,18,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p22.2h,5,5,5,5,5,5,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p22.2i,2,2,2,2,2,2,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p22.1a,2,2,2,2,2,2,10k_PBMC_3p_nextgem_Chromium_X
